x	y	err
1	0.2262	0.013
2	0.2141	0.0098
3	0.2083	0.0101
4	0.2042	0.0106
5	0.2008	0.0112
6	0.1977	0.0117
7	0.1943	0.0121
8	0.1913	0.0129
9	0.1885	0.0137
10	0.1855	0.0145
11	0.1829	0.0152
12	0.1803	0.0161
13	0.1779	0.0168
14	0.1755	0.0176
15	0.1732	0.0183
16	0.1709	0.019
17	0.1686	0.0197
18	0.1663	0.0204
19	0.1642	0.0211
20	0.1622	0.0217
21	0.1602	0.0223
22	0.1581	0.023
23	0.1562	0.0236
24	0.1538	0.0244
25	0.1518	0.0251
26	0.1499	0.0258
27	0.1479	0.0264
28	0.1461	0.027
29	0.1442	0.0276
30	0.1424	0.0282
31	0.1403	0.0289
32	0.1384	0.0296
33	0.1365	0.0303
34	0.1346	0.0309
35	0.1329	0.0316
36	0.1312	0.0322
37	0.1295	0.0328
38	0.1279	0.0335
39	0.1263	0.0341
40	0.1247	0.0346
41	0.1232	0.0352
42	0.1217	0.0358
43	0.1202	0.0363
44	0.1187	0.0368
45	0.1173	0.0373
46	0.1159	0.0378
47	0.1145	0.0383
48	0.1131	0.0388
49	0.1118	0.0392
50	0.1104	0.0397
