x	y	err
1	0.6052	0.0106
2	0.5862	0.0077
3	0.5726	0.0095
4	0.5605	0.0111
5	0.5495	0.0126
6	0.5391	0.014
7	0.5291	0.0153
8	0.5189	0.0167
9	0.5091	0.0179
10	0.4995	0.019
11	0.4898	0.0201
12	0.4801	0.0212
13	0.47	0.0222
14	0.4601	0.0231
15	0.4503	0.0242
16	0.4407	0.0252
17	0.4312	0.0261
18	0.4218	0.0269
19	0.4125	0.0276
20	0.4032	0.0284
21	0.3939	0.0291
22	0.3846	0.0298
23	0.3754	0.0305
24	0.3662	0.0312
25	0.357	0.0319
26	0.3478	0.0326
27	0.3387	0.0333
28	0.3293	0.0338
29	0.3201	0.0345
30	0.3108	0.0351
31	0.3014	0.0356
32	0.2921	0.0362
33	0.2828	0.0369
34	0.2736	0.0376
35	0.2644	0.0384
36	0.2552	0.0391
37	0.246	0.0399
38	0.2369	0.0406
39	0.2278	0.0413
40	0.2187	0.042
41	0.2096	0.0426
42	0.2006	0.0432
43	0.1915	0.0438
44	0.1825	0.0443
45	0.1736	0.0449
46	0.1646	0.0455
47	0.1557	0.046
48	0.1468	0.0465
49	0.138	0.0471
50	0.1291	0.0476
